,A,B
15,0.9177777777777778,0.6388888888888888
16,0.9122222222222223,0.6594444444444445
17,0.8955555555555555,0.6533333333333333
0,0.51,
1,0.5525,
2,0.7108333333333333,
3,0.7816666666666666,
4,0.8811111111111111,0.6161111111111112
5,0.8772222222222222,0.6583333333333333
6,0.8861111111111111,0.6033333333333334
7,0.8877777777777778,0.6244444444444445
8,0.8977777777777778,0.6372222222222222
9,0.8988888888888888,0.6244444444444445
10,0.9005555555555556,0.6283333333333333
11,0.8822222222222222,0.6461111111111111
12,0.9033333333333333,0.63
13,0.9111111111111111,0.6316666666666667
14,0.9,0.6311111111111111
15,0.9005555555555556,0.6211111111111111
16,0.8844444444444445,0.6394444444444445
17,0.8822222222222222,0.6444444444444445
0,0.5016666666666667,
1,0.6558333333333334,
2,0.72,
3,0.7941666666666667,
4,0.9061111111111111,0.6366666666666667
5,0.8994444444444445,0.6644444444444444
6,0.8938888888888888,0.6655555555555556
7,0.9016666666666666,0.6555555555555556
8,0.8977777777777778,0.6505555555555556
9,0.8977777777777778,0.6544444444444445
10,0.9038888888888889,0.6805555555555556
11,0.9116666666666666,0.6522222222222223
12,0.9061111111111111,0.6472222222222223
13,0.9122222222222223,0.6361111111111111
14,0.9083333333333333,0.645
15,0.9177777777777778,0.6388888888888888
16,0.9122222222222223,0.6594444444444445
17,0.8955555555555555,0.6533333333333333
0,0.51,
1,0.5525,
2,0.7108333333333333,
3,0.7816666666666666,
4,0.8811111111111111,0.6161111111111112
5,0.8772222222222222,0.6583333333333333
6,0.8861111111111111,0.6033333333333334
7,0.8877777777777778,0.6244444444444445
8,0.8977777777777778,0.6372222222222222
9,0.8988888888888888,0.6244444444444445
10,0.9005555555555556,0.6283333333333333
11,0.8822222222222222,0.6461111111111111
12,0.9033333333333333,0.63
13,0.9111111111111111,0.6316666666666667
14,0.9,0.6311111111111111
15,0.9005555555555556,0.6211111111111111
16,0.8844444444444445,0.6394444444444445
17,0.8822222222222222,0.6444444444444445
0,0.5016666666666667,
1,0.6558333333333334,
2,0.72,
3,0.7941666666666667,
4,0.9061111111111111,0.6366666666666667
5,0.8994444444444445,0.6644444444444444
6,0.8938888888888888,0.6655555555555556
7,0.9016666666666666,0.6555555555555556
8,0.8977777777777778,0.6505555555555556
9,0.8977777777777778,0.6544444444444445
10,0.9038888888888889,0.6805555555555556
11,0.9116666666666666,0.6522222222222223
12,0.9061111111111111,0.6472222222222223
13,0.9122222222222223,0.6361111111111111
14,0.9083333333333333,0.645
15,0.9177777777777778,0.6388888888888888
16,0.9122222222222223,0.6594444444444445
17,0.8955555555555555,0.6533333333333333
0,0.51,
1,0.5525,
2,0.7108333333333333,
3,0.7816666666666666,
4,0.8811111111111111,0.6161111111111112
5,0.8772222222222222,0.6583333333333333
6,0.8861111111111111,0.6033333333333334
7,0.8877777777777778,0.6244444444444445
8,0.8977777777777778,0.6372222222222222
9,0.8988888888888888,0.6244444444444445
10,0.9005555555555556,0.6283333333333333
11,0.8822222222222222,0.6461111111111111
12,0.9033333333333333,0.63
13,0.9111111111111111,0.6316666666666667
14,0.9,0.6311111111111111
15,0.9005555555555556,0.6211111111111111
16,0.8844444444444445,0.6394444444444445
17,0.8822222222222222,0.6444444444444445
0,0.5016666666666667,
1,0.6558333333333334,
2,0.72,
3,0.7941666666666667,
4,0.9061111111111111,0.6366666666666667
5,0.8994444444444445,0.6644444444444444
6,0.8938888888888888,0.6655555555555556
7,0.9016666666666666,0.6555555555555556
8,0.8977777777777778,0.6505555555555556
9,0.8977777777777778,0.6544444444444445
10,0.9038888888888889,0.6805555555555556
11,0.9116666666666666,0.6522222222222223
12,0.9061111111111111,0.6472222222222223
13,0.9122222222222223,0.6361111111111111
14,0.9083333333333333,0.645
15,0.9177777777777778,0.6388888888888888
16,0.9122222222222223,0.6594444444444445
17,0.8955555555555555,0.6533333333333333
0,0.51,
1,0.5525,
2,0.7108333333333333,
3,0.7816666666666666,
4,0.8811111111111111,0.6161111111111112
5,0.8772222222222222,0.6583333333333333
6,0.8861111111111111,0.6033333333333334
7,0.8877777777777778,0.6244444444444445
8,0.8977777777777778,0.6372222222222222
9,0.8988888888888888,0.6244444444444445
10,0.9005555555555556,0.6283333333333333
11,0.8822222222222222,0.6461111111111111
12,0.9033333333333333,0.63
13,0.9111111111111111,0.6316666666666667
14,0.9,0.6311111111111111
15,0.9005555555555556,0.6211111111111111
16,0.8844444444444445,0.6394444444444445
17,0.8822222222222222,0.6444444444444445
0,0.5016666666666667,
1,0.6558333333333334,
2,0.72,
3,0.7941666666666667,
4,0.9061111111111111,0.6366666666666667
5,0.8994444444444445,0.6644444444444444
6,0.8938888888888888,0.6655555555555556
7,0.9016666666666666,0.6555555555555556
8,0.8977777777777778,0.6505555555555556
9,0.8977777777777778,0.6544444444444445
10,0.9038888888888889,0.6805555555555556
11,0.9116666666666666,0.6522222222222223
12,0.9061111111111111,0.6472222222222223
13,0.9122222222222223,0.6361111111111111
14,0.9083333333333333,0.645
15,0.9177777777777778,0.6388888888888888
16,0.9122222222222223,0.6594444444444445
17,0.8955555555555555,0.6533333333333333
0,0.51,
1,0.5525,
2,0.7108333333333333,
3,0.7816666666666666,
4,0.8811111111111111,0.6161111111111112
5,0.8772222222222222,0.6583333333333333
6,0.8861111111111111,0.6033333333333334
7,0.8877777777777778,0.6244444444444445
8,0.8977777777777778,0.6372222222222222
9,0.8988888888888888,0.6244444444444445
10,0.9005555555555556,0.6283333333333333
11,0.8822222222222222,0.6461111111111111
12,0.9033333333333333,0.63
13,0.9111111111111111,0.6316666666666667
14,0.9,0.6311111111111111
15,0.9005555555555556,0.6211111111111111
16,0.8844444444444445,0.6394444444444445
17,0.8822222222222222,0.6444444444444445
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
11,0.9622222222222222,0.7366666666666667
12,0.9544444444444444,0.7333333333333333
13,0.9694444444444444,0.7372222222222222
14,0.9577777777777777,0.7511111111111111
15,0.9533333333333334,0.7483333333333333
16,0.9566666666666667,0.7261111111111112
17,0.955,0.7177777777777777
0,0.4911111111111111,
1,0.6708333333333333,
2,0.6775,
3,0.7608333333333334,
4,0.8483333333333334,0.6155555555555555
5,0.8866666666666667,0.6105555555555555
6,0.8666666666666667,0.6088888888888889
7,0.8605555555555555,0.6194444444444445
8,0.8977777777777778,0.6266666666666667
9,0.89,0.6316666666666667
10,0.8911111111111111,0.625
11,0.8872222222222222,0.6255555555555555
12,0.8966666666666666,0.6055555555555555
13,0.8838888888888888,0.615
14,0.9005555555555556,0.6055555555555555
15,0.8822222222222222,0.5966666666666667
16,0.8761111111111111,0.6144444444444445
17,0.8722222222222222,0.6261111111111111
0,0.5255555555555556,
1,0.7141666666666666,
2,0.8283333333333334,
3,0.8491666666666666,
4,0.9422222222222222,0.7066666666666667
5,0.95,0.7283333333333334
6,0.9538888888888889,0.7255555555555555
7,0.955,0.7466666666666667
8,0.9672222222222222,0.7261111111111112
9,0.9605555555555556,0.7311111111111112
10,0.9583333333333334,0.7305555555555555
