,A,B
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
9,0.8566666666666667,0.6355555555555555
10,0.8533333333333334,0.635
11,0.8294444444444444,0.6527777777777778
12,0.8444444444444444,0.6361111111111111
13,0.8555555555555555,0.6344444444444445
14,0.8466666666666667,0.6377777777777778
15,0.8466666666666667,0.6244444444444445
16,0.8416666666666667,0.6511111111111111
17,0.8372222222222222,0.645
0,0.5016666666666667,
1,0.7066666666666667,
2,0.7791666666666667,
3,0.8825,
4,0.9027777777777778,0.6722222222222223
5,0.8911111111111111,0.6822222222222222
6,0.8811111111111111,0.685
7,0.8816666666666667,0.6711111111111111
8,0.8777777777777778,0.6816666666666666
9,0.8783333333333333,0.6816666666666666
10,0.8794444444444445,0.6894444444444444
11,0.89,0.6727777777777778
12,0.8861111111111111,0.6727777777777778
13,0.8938888888888888,0.6611111111111111
14,0.8788888888888889,0.6805555555555556
15,0.8894444444444445,0.6755555555555556
16,0.8905555555555555,0.6794444444444444
17,0.8822222222222222,0.6766666666666666
0,0.51,
1,0.5675,
2,0.7741666666666667,
3,0.8541666666666666,
4,0.8516666666666667,0.6383333333333333
5,0.8433333333333334,0.6638888888888889
6,0.8444444444444444,0.6177777777777778
7,0.8433333333333334,0.6355555555555555
8,0.8466666666666667,0.6516666666666666
